Country,ISO3,value,date
Zimbabwe,ZWE,3.491,2021-01-01
Zambia,ZMB,4.308,2021-01-01
"Yemen, Rep.",YEM,3.795,2021-01-01
West Bank and Gaza,PSE,3.504,2021-01-01
Virgin Islands (U.S.),VIR,2.01,2021-01-01
Viet Nam,VNM,1.944,2021-01-01
"Venezuela, RB",VEN,2.211,2021-01-01
Vanuatu,VUT,3.735,2021-01-01
Uzbekistan,UZB,3.173,2021-01-01
Uruguay,URY,1.493,2021-01-01
United States,USA,1.664,2021-01-01
United Kingdom,GBR,1.56,2021-01-01
United Arab Emirates,ARE,1.46,2021-01-01
Ukraine,UKR,1.16,2021-01-01
Uganda,UGA,4.585,2021-01-01
Tuvalu,TUV,3.163,2021-01-01
Turks and Caicos Islands,TCA,1.669,2021-01-01
Turkmenistan,TKM,2.667,2021-01-01
Turkiye,TUR,1.889,2021-01-01
Tunisia,TUN,2.086,2021-01-01
Trinidad and Tobago,TTO,1.626,2021-01-01
Tonga,TON,3.237,2021-01-01
Togo,TGO,4.257,2021-01-01
Timor-Leste,TLS,3.149,2021-01-01
Thailand,THA,1.331,2021-01-01
Tanzania,TZA,4.726,2021-01-01
Tajikistan,TJK,3.186,2021-01-01
Syrian Arab Republic,SYR,2.747,2021-01-01
Switzerland,CHE,1.52,2021-01-01
Sweden,SWE,1.67,2021-01-01
Suriname,SUR,2.348,2021-01-01
Sudan,SDN,4.457,2021-01-01
St. Vincent and the Grenadines,VCT,1.797,2021-01-01
St. Martin (French part),MAF,2.415,2021-01-01
St. Lucia,LCA,1.399,2021-01-01
St. Kitts and Nevis,KNA,1.531,2021-01-01
Sri Lanka,LKA,1.99,2021-01-01
Spain,ESP,1.19,2021-01-01
South Sudan,SSD,4.469,2021-01-01
South Africa,ZAF,2.374,2021-01-01
Somalia,SOM,6.312,2021-01-01
Solomon Islands,SLB,3.983,2021-01-01
Slovenia,SVN,1.64,2021-01-01
Slovak Republic,SVK,1.64,2021-01-01
Sint Maarten (Dutch part),SXM,1.581,2021-01-01
Singapore,SGP,1.12,2021-01-01
Sierra Leone,SLE,3.978,2021-01-01
Seychelles,SYC,2.46,2021-01-01
Serbia,SRB,1.48,2021-01-01
Senegal,SEN,4.387,2021-01-01
Saudi Arabia,SAU,2.427,2021-01-01
Sao Tome and Principe,STP,3.823,2021-01-01
Samoa,WSM,3.93,2021-01-01
Rwanda,RWA,3.821,2021-01-01
Russian Federation,RUS,1.493,2021-01-01
Romania,ROU,1.8,2021-01-01
Qatar,QAT,1.801,2021-01-01
Puerto Rico,PRI,0.907,2021-01-01
Portugal,PRT,1.38,2021-01-01
Poland,POL,1.33,2021-01-01
Philippines,PHL,2.748,2021-01-01
Peru,PER,2.192,2021-01-01
Paraguay,PRY,2.469,2021-01-01
Papua New Guinea,PNG,3.215,2021-01-01
Panama,PAN,2.325,2021-01-01
Palau,PLW,0.85,2020-01-01
Pakistan,PAK,3.47,2021-01-01
Oman,OMN,2.623,2021-01-01
Norway,NOR,1.55,2021-01-01
North Macedonia,MKD,1.6,2021-01-01
Nigeria,NGA,5.237,2021-01-01
Niger,NER,6.82,2021-01-01
Nicaragua,NIC,2.321,2021-01-01
New Zealand,NZL,1.64,2021-01-01
New Caledonia,NCL,2.02,2021-01-01
Netherlands,NLD,1.62,2021-01-01
Nepal,NPL,2.029,2021-01-01
Nauru,NRU,3.519,2021-01-01
Namibia,NAM,3.303,2021-01-01
Myanmar,MMR,2.151,2021-01-01
Mozambique,MOZ,4.644,2021-01-01
Morocco,MAR,2.328,2021-01-01
Montenegro,MNE,1.75,2021-01-01
Mongolia,MNG,2.837,2021-01-01
Moldova,MDA,1.806,2021-01-01
"Micronesia, Fed. Sts.",FSM,2.711,2021-01-01
Mexico,MEX,1.822,2021-01-01
Mauritius,MUS,1.41,2021-01-01
Mauritania,MRT,4.398,2021-01-01
Marshall Islands,MHL,2.729,2021-01-01
Malta,MLT,1.14,2021-01-01
Mali,MLI,5.956,2021-01-01
Maldives,MDV,1.692,2021-01-01
Malaysia,MYS,1.803,2021-01-01
Malawi,MWI,3.917,2021-01-01
Madagascar,MDG,3.851,2021-01-01
"Macao SAR, China",MAC,1.088,2021-01-01
Luxembourg,LUX,1.38,2021-01-01
Lithuania,LTU,1.34,2021-01-01
Liechtenstein,LIE,1.53,2021-01-01
Libya,LBY,2.462,2021-01-01
Liberia,LBR,4.089,2021-01-01
Lesotho,LSO,3.018,2021-01-01
Lebanon,LBN,2.091,2021-01-01
Latvia,LVA,1.57,2021-01-01
Lao PDR,LAO,2.496,2021-01-01
Kyrgyz Republic,KGZ,2.89,2021-01-01
Kuwait,KWT,2.11,2021-01-01
Kosovo,XKX,1.522,2021-01-01
"Korea, Rep.",KOR,0.808,2021-01-01
"Korea, Dem. People's Rep.",PRK,1.809,2021-01-01
Kiribati,KIR,3.304,2021-01-01
Kenya,KEN,3.335,2021-01-01
Kazakhstan,KAZ,3.32,2021-01-01
Jordan,JOR,2.83,2021-01-01
Japan,JPN,1.3,2021-01-01
Jamaica,JAM,1.352,2021-01-01
Italy,ITA,1.25,2021-01-01
Israel,ISR,3.0,2021-01-01
Isle of Man,IMN,1.564,2021-01-01
Ireland,IRL,1.72,2021-01-01
Iraq,IRQ,3.496,2021-01-01
"Iran, Islamic Rep.",IRN,1.692,2021-01-01
Indonesia,IDN,2.175,2021-01-01
India,IND,2.031,2021-01-01
Iceland,ISL,1.82,2021-01-01
Hungary,HUN,1.59,2021-01-01
"Hong Kong SAR, China",HKG,0.772,2021-01-01
Honduras,HND,2.363,2021-01-01
Haiti,HTI,2.814,2021-01-01
Guyana,GUY,2.397,2021-01-01
Guinea-Bissau,GNB,4.005,2021-01-01
Guinea,GIN,4.399,2021-01-01
Guatemala,GTM,2.395,2021-01-01
Guam,GUM,2.569,2021-01-01
Grenada,GRD,2.004,2021-01-01
Greenland,GRL,1.8,2021-01-01
Greece,GRC,1.39,2021-01-01
Gibraltar,GIB,1.848,2021-01-01
Ghana,GHA,3.563,2021-01-01
Germany,DEU,1.58,2021-01-01
Georgia,GEO,2.081,2021-01-01
"Gambia, The",GMB,4.684,2021-01-01
Gabon,GAB,3.491,2021-01-01
French Polynesia,PYF,1.699,2021-01-01
France,FRA,1.83,2021-01-01
Finland,FIN,1.46,2021-01-01
Fiji,FJI,2.475,2021-01-01
Faroe Islands,FRO,2.293,2021-01-01
Ethiopia,ETH,4.159,2021-01-01
Eswatini,SWZ,2.839,2021-01-01
Estonia,EST,1.61,2021-01-01
Eritrea,ERI,3.867,2021-01-01
Equatorial Guinea,GNQ,4.266,2021-01-01
El Salvador,SLV,1.803,2021-01-01
"Egypt, Arab Rep.",EGY,2.917,2021-01-01
Ecuador,ECU,2.026,2021-01-01
Dominican Republic,DOM,2.273,2021-01-01
Dominica,DMA,1.595,2021-01-01
Djibouti,DJI,2.804,2021-01-01
Denmark,DNK,1.72,2021-01-01
Czechia,CZE,1.83,2021-01-01
Cyprus,CYP,1.321,2021-01-01
Curacao,CUW,1.38390804597701,2021-01-01
Cuba,CUB,1.442,2021-01-01
Croatia,HRV,1.62,2021-01-01
Cote d'Ivoire,CIV,4.418,2021-01-01
Costa Rica,CRI,1.533,2021-01-01
"Congo, Rep.",COG,4.171,2021-01-01
"Congo, Dem. Rep.",COD,6.156,2021-01-01
Comoros,COM,3.978,2021-01-01
Colombia,COL,1.717,2021-01-01
China,CHN,1.164,2021-01-01
Chile,CHL,1.537,2021-01-01
Channel Islands,CHI,1.457,2021-01-01
Chad,TCD,6.255,2021-01-01
Central African Republic,CAF,5.978,2021-01-01
Canada,CAN,1.43,2021-01-01
Cameroon,CMR,4.463,2021-01-01
Cambodia,KHM,2.344,2021-01-01
Cabo Verde,CPV,1.896,2021-01-01
Burundi,BDI,5.078,2021-01-01
Burkina Faso,BFA,4.772,2021-01-01
Bulgaria,BGR,1.58,2021-01-01
Brunei Darussalam,BRN,1.778,2021-01-01
British Virgin Islands,VGB,1.005,2021-01-01
Brazil,BRA,1.641,2021-01-01
Botswana,BWA,2.791,2021-01-01
Bosnia and Herzegovina,BIH,1.35,2021-01-01
Bolivia,BOL,2.618,2021-01-01
Bhutan,BTN,1.413,2021-01-01
Bermuda,BMU,1.3,2021-01-01
Benin,BEN,4.973,2021-01-01
Belize,BLZ,2.01,2021-01-01
Belgium,BEL,1.6,2021-01-01
Belarus,BLR,1.483,2021-01-01
Barbados,BRB,1.633,2021-01-01
Bangladesh,BGD,1.981,2021-01-01
Bahrain,BHR,1.811,2021-01-01
"Bahamas, The",BHS,1.389,2021-01-01
Azerbaijan,AZE,1.52,2021-01-01
Austria,AUT,1.48,2021-01-01
Australia,AUS,1.7,2021-01-01
Aruba,ABW,1.18,2021-01-01
Armenia,ARM,1.575,2021-01-01
Argentina,ARG,1.885,2021-01-01
Antigua and Barbuda,ATG,1.58,2021-01-01
Angola,AGO,5.304,2021-01-01
Algeria,DZA,2.889,2021-01-01
Albania,ALB,1.39,2021-01-01
Afghanistan,AFG,4.643,2021-01-01
